Review_Day,Review_Count,Avg_Rating,Negative_Count,Negative_Rate,Dominant_Category,Rolling_7d_Avg,Flag_Static,Flag_Rolling,Burst_Detected
2025-04-15,2,5.0,0,0.0,Positive,2.71,False,False,False
2025-04-18,1,5.0,0,0.0,Positive,2.86,False,False,False
2025-04-20,1,5.0,0,0.0,Positive,2.86,False,False,False
2025-04-25,1,5.0,0,0.0,Positive,2.86,False,False,False
2025-04-28,1,5.0,0,0.0,Positive,2.86,False,False,False
2025-05-20,1,5.0,0,0.0,Positive,1.14,False,False,False
2025-12-10,1,5.0,0,0.0,Positive,1.14,False,False,False
2026-05-20,4,4.25,0,0.0,Positive,1.14,True,True,True
2026-05-25,1,4.0,0,0.0,Positive,1.43,False,False,False
2026-06-01,3,4.666666666666667,0,0.0,Positive,1.43,False,True,True
2026-06-08,5,4.0,0,0.0,Positive,1.71,True,True,True
2026-06-15,2,4.5,0,0.0,Positive,2.29,False,False,False
2026-06-16,2,5.0,0,0.0,Positive,2.43,False,False,False
2026-06-17,1,5.0,0,0.0,Positive,2.57,False,False,False
2026-06-18,2,5.0,0,0.0,Positive,2.57,False,False,False
